,BYDLISTEK,BYDLISTEN,ESTRANA,JMENO,NSTRANA,PLATNOST_x,PORCISLO,POVOLANI,PRIJMENI,PSTRANA,STATOBCAN,TITULPRED,TITULZA,VEK,NAZEVCELK,NAZEVPLNY,NAZEV_STRE,PLATNOST_y,POCMANDCR,POCSTRVKO,SLOZENI,STAVREG,VSTRANA,ZKRATKAE30,ZKRATKAE8
10,534676,Mělník,1,Miroslav,129,0,11,"jednatel společnosti, ředitel",Sejček,129,CZ,Ing.,,59,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
11,4,Ostrava,1,František,129,0,12,starosta,Šichnárek,129,CZ,,,67,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
12,3,Brno,1,Libuše,129,0,13,logistik manažer,Míková,99,CZ,Ing. et Bc.,,29,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
13,6,Pardubice,1,Radko,129,0,14,vedoucí práv. a ekon. poradny,Šamánek,129,CZ,Ing.,,58,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
14,1,Praha,1,Alan,129,0,15,překladatel,Béguivin,129,CZ,Mgr.,,39,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
15,586846,Jihlava,1,Pavlína,129,0,16,finanční poradce,Zábranská,129,CZ,Mgr.,,36,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
16,586722,Veselí nad Moravou,1,Jaroslav,129,0,17,tajemník městského úřadu,Miklenda,129,CZ,Ing.,,66,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
17,6,Pardubice,1,Evžen,129,0,18,manažer,Erban,99,CZ,,,68,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
18,511021,Vítkov,1,Pavel,129,0,19,starosta,Smolka,129,CZ,Ing.,,47,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
19,1,Praha,1,Petr,129,0,20,filmový produkční,Šámal,129,CZ,,,64,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
20,544841,Rožnov pod Radhoštěm,1,Olga,129,0,21,recepční,Tobolová,129,CZ,,,55,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
21,538132,Čelákovice,1,Jiří,129,0,22,ředitel společnosti,Drahovzal,129,CZ,Ing.,DiS.,50,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
22,1,Praha,1,Barbora,129,0,23,asist. vedoucího ústavu ČVUT,Peterková,129,CZ,Ing. arch.,,61,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
23,571164,Chrudim,1,Petr,129,0,24,starosta města Chrudim,Řezníček,129,CZ,Mgr.,,63,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
24,590266,Třebíč,1,Anna,129,0,25,"lektorka, fin.a proj.manažerka",Machátová,99,CZ,Bc.,,40,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
25,1,Praha,1,Josef,129,0,26,"výzkumný pracovník, konzultant",Jiroušek,129,CZ,,,46,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
26,584291,Břeclav,1,Dymo,129,0,27,obchodní ředitel,Piškula,129,CZ,Ing.,,47,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
27,576069,Rychnov nad Kněžnou,1,Helmut,129,0,28,projektový manažer,Dohnálek,129,CZ,,,48,SNK Evropští demokraté,,SNK Evropští demokraté,0,0,1,129,0,129,SNK Evropští demokraté,SNK ED
28,4,Ostrava,2,Radoslav,159,0,1,"geograf, ekolog",Štědroň,159,CZ,RNDr.,,59,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
29,4,Ostrava,2,Iva,159,0,2,voják v záloze - zdravotnice,Valdmanová,99,CZ,,,58,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
30,562971,Chomutov,2,Marie,197,0,3,učitelka,Kindermannová,197,CZ,PaedDr.,,65,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
31,599565,Kopřivnice,2,Roman,159,0,4,lékař,Jelínek,99,CZ,MUDr.,,58,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
32,563129,Klášterec nad Ohří,2,Lenka,197,0,5,vrchní sestra,Štěpánková,99,CZ,,,53,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
33,532169,Buštěhrad,2,Jiří,159,1,6,stavební inženýr,Hadrava,99,CZ,Ing.,,61,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
34,540200,Kozlovice,2,Aleš,159,0,7,informatik,Eliáš,99,CZ,Ing.,,62,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
35,562971,Chomutov,2,Petr,197,0,8,živnostník,Kindermann,197,CZ,,,42,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
36,563552,Desná,2,Zdeněk,159,0,9,sociální ekolog,Joukl,99,CZ,,,73,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
37,4,Ostrava,2,Pavel,159,0,10,živnostník,Koudelka,99,CZ,,,42,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
38,1,Praha,2,Ladislav,197,0,11,živnostník,Horák,99,CZ,,,65,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
39,4,Ostrava,2,Vladimír,159,0,12,vyřazený havíř,Havel,99,CZ,,,61,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
40,4,Ostrava,2,Břetislav,159,0,13,manažer v příspěvkové organ.,Svoboda,99,CZ,,,47,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
41,4,Ostrava,2,Josef,159,0,14,astrolog - myslitel,Orszulík,99,CZ,,,83,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
42,6,Pardubice,2,Věra,159,0,15,finanční poradce,Dvořáčková,99,CZ,,,67,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
43,6,Pardubice,2,Miroslav,159,0,16,stavitel,Valenta,99,CZ,,,53,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
44,6,Pardubice,2,Radim,159,0,17,finanční analytik,Tábořík,99,CZ,,,54,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
45,1,Praha,2,Petr,159,0,18,pracovník maloobchodu potravin,Šach,159,CZ,,,66,Strana práce a Nespokojení občané!,,Koalice SP a NO!,0,0,2,"159,197",0,576,Koalice SP a NO!,Koal. SP a NO!
46,1,Praha,3,Radka,40,0,1,manažerka sociálních projektů,Poláková,99,CZ,Ing.,,48,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
47,1,Praha,3,Jiří,40,0,2,stavební inženýr,Domlátil,40,CZ,Ing.,,68,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
48,569810,Hradec Králové,3,Romana,40,0,3,koordinátor asistenč. služeb,Šimková,40,CZ,Bc.,,26,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
49,511382,Přerov,3,Vladimír,40,0,4,tajemník nadačního fondu,Hučín,40,CZ,,,61,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
50,500496,Olomouc,3,Zdeňka,40,0,5,občanská aktivistka,Mašínová,99,CZ,,,80,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
51,1,Praha,3,Pavel,40,0,6,vědecký pracovník,Holba,40,CZ,Ing.,CSc.,73,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
52,1,Praha,3,Daniela,40,0,7,personalistka,Hinojosa,99,CZ,PaedDr.,,49,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
53,532053,Kladno,3,Karel,40,0,8,zubní lékař,Protiva,40,CZ,MUDr.,,62,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
54,1,Praha,3,Natalie,40,0,9,inženýrka chemie,Přibíková,99,CZ,Ing.,MA,73,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
55,585068,Zlín,3,Zbyněk,40,0,10,hudebník,Horváth,99,CZ,,,44,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
56,539031,Všestary,3,Jiří,40,0,11,exstarosta Prahy 11,Čumpelík,40,CZ,,,68,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
57,1,Praha,3,Martin,40,0,12,režisér,Vadas,99,CZ,Mgr.,,60,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
58,534951,Kralupy nad Vltavou,3,Barnabáš,40,0,13,technik,Bíro,40,CZ,,,68,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
59,1,Praha,3,Marek,40,0,14,advokát,Dufek,99,CZ,JUDr. Ing.,,41,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
60,2,Plzeň,3,Miroslav,40,0,15,ekonom,Matějka,40,CZ,Ing.,,47,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
61,532053,Kladno,3,Jiří,40,0,16,učitel,Rezek,99,CZ,Mgr.,,62,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
62,1,Praha,3,Jaroslav,40,0,17,badatel,Šesták,99,CZ,Prof. Ing.,"DrSc., Dr.h.c.",75,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
63,1,Praha,3,Josef,40,0,18,filolog a překladatel,Vlášek,40,CZ,,,80,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
64,545881,Jindřichův Hradec,3,David,40,0,19,programátor,Navara,99,CZ,Mgr.,,37,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
65,1,Praha,3,Vladimír,40,0,20,nakladatel,Kříž,99,CZ,PhDr.,,62,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
66,1,Praha,3,Jaroslav,40,0,21,právník,Šikula,99,CZ,JUDr.,,68,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
67,1,Praha,3,Alois,40,0,22,analytik,Bláha,99,CZ,Ing.,,62,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
68,570451,Nechanice,3,Josef,40,0,23,odborný učitel,Kolář,40,CZ,Ing.,,71,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
69,1,Praha,3,Jana,40,0,24,režisérka a scénáristka,Slánská,99,CZ,Ing. Mgr.,,71,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
70,533271,Český Brod,3,Rudolf,40,0,25,recitátor,Kvíz,99,CZ,,,74,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
71,1,Praha,3,Anastazie,40,0,26,odborný pracovník,Kopřivová,99,CZ,,,78,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
72,2,Plzeň,3,Jaroslav,40,0,27,výzkumný pracovník,Fiala,99,CZ,Prof. RNDr.,CSc.,74,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
73,1,Praha,3,Václav,40,0,28,filolog,Konzal,99,CZ,,,82,Klub angažovaných nestraníků,,Klub angažovaných nestraníků,0,0,1,040,0,40,Klub angažovaných nestraníků,KAN
74,1,Praha,4,Adam Benjamin,79,0,1,novinář,Bartoš,79,CZ,,,34,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
75,1,Praha,4,Daniel,79,0,2,politolog,Solis,99,CZ,Lic.,LL.M.,46,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
76,1,Praha,4,Jan,79,0,3,ekonom. a organizační poradce,Skácel,123,CZ,Mgr.,,79,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
77,4,Ostrava,4,David,79,0,4,grafik,Hibsch,99,CZ,,,43,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
78,532053,Kladno,4,František,79,0,5,publicista,Červenka,79,CZ,,,48,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
79,1,Praha,4,Ladislav,79,0,6,publicista,Zemánek,79,CZ,,,21,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
80,562335,Děčín,4,Petr,79,0,7,živnostník,Žák,79,CZ,,,60,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
81,578576,Polička,4,Tomáš,79,0,8,živnostník,Kaláb,79,CZ,RNDr.,,43,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
82,539732,Štěchovice,4,Radim,79,0,9,IT specialista,Lhoták,99,CZ,,,61,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
83,587672,Panské Dubenky,4,Tomáš,79,0,10,písničkář,Hamet,79,CZ,,,46,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
84,1,Praha,4,Michal,79,0,11,publicista,Kretschmer,99,CZ,,,70,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
85,598003,Frýdek-Místek,4,Roman,79,0,12,jednatel a ředitel IT společn.,Gryc,99,CZ,Mgr.,,43,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
86,1,Praha,4,Jindřiška,79,0,13,překladatelka,Fikarová,79,CZ,RNDr.,,69,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
87,2,Plzeň,4,Vít,79,0,14,mistr výroby,Skalský,79,CZ,Bc.,,40,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
88,4,Ostrava,4,Tomáš,79,0,15,dělník,Eybl,99,CZ,,,33,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
89,1,Praha,4,Bohumil,79,0,16,sociální pracovník,Šourek,99,CZ,,,65,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
90,1,Praha,4,Jan,79,0,17,muzejní knihovník,Kašpar,99,CZ,Bc.,,36,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
91,550787,Strakonice,4,František Karel,79,0,18,dělník,Ladislav,79,CZ,,,45,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
92,538671,Přezletice,4,František,79,0,19,administrativní pracovník,Hucek,99,CZ,,,41,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
93,550787,Strakonice,4,Martin,79,0,20,OSVČ,Kadlečík,99,CZ,Ing.,,34,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
94,547719,Častrov,4,Valentin,79,0,21,sociální pracovník Unie otců,Papazian,99,CZ,Ing.,,45,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
95,6,Pardubice,4,Pavel,79,0,22,"zahradník,nakl.a  překladatel",Křivka,99,CZ,Ing.,MSc.,53,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
96,552046,Tábor,4,Ivan,79,0,23,podnikatel,Cícha,99,CZ,Ing.,,52,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
97,545571,Křemže,4,František,79,0,24,etnograf,Krejča,99,CZ,PhDr.,,60,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
98,562335,Děčín,4,Petr,79,0,25,živnostník,Vostřel,99,CZ,,,35,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
99,598003,Frýdek-Místek,4,Petr,79,0,26,živnostník,Ručka,99,CZ,,,49,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
100,3,Brno,4,Aleš,79,0,27,autorizovaný architekt,Krejčí,99,CZ,Ing. arch.,,41,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
101,532053,Kladno,4,Michal,79,0,28,knihovník,Chvorinov,99,CZ,,,43,NE Bruselu - Národní demokracie,,NE Bruselu - Národní demokracie,0,0,1,079,0,79,NE Bruselu-Národní demokracie,ND
102,1,Praha,5,Pavel,1,0,1,vysokoškolský učitel,Svoboda,1,CZ,Doc. JUDr.,"Ph.D., D.E.A.",52,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
103,588296,Kroměříž,5,Michaela,1,0,2,ředitelka odboru Čes.šk.insp.,Šojdrová,1,CZ,Ing.,,50,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
104,569810,Hradec Králové,5,Tomáš,1,0,3,ředitel,Zdechovský,1,CZ,Mgr.,,34,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
105,1,Praha,5,Eduard,1,0,4,"poradce posl. EP, historik",Hulicius,1,CZ,Mgr.,MA,33,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
106,1,Praha,5,Marie,1,0,5,ředitelka vzděl.nezisk.org.,Jílková,1,CZ,Mgr.,,36,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
107,598003,Frýdek-Místek,5,Miroslav,1,0,6,lékař,Přádka,1,CZ,Ing. MUDr.,Ph.D.,44,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
108,550787,Strakonice,5,Jiří,1,0,7,1. náměstek MZe,Jirsa,1,CZ,Mgr.,,34,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
109,596230,Nové Město na Moravě,5,Pavel,1,0,8,vedoucí odboru dopravy,Šustr,1,CZ,Ing.,,58,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
110,589268,Bedihošť,5,Petr,1,0,9,"místostarosta,agronom,archeol.",Vysloužil,1,CZ,Mgr. Ing.,,44,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
111,3,Brno,5,Petr,1,0,10,"projekt.manažer,lektor,zastup.",Hladík,1,CZ,Mgr.,,29,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
112,544884,Olešnice,5,Jan,1,0,11,"asistent poslance,dobr.činnost",Novotný,1,CZ,Bc.,,23,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
113,545058,Valašské Meziříčí,5,Zdislava,1,0,12,ředitelka Diakonie ČCE,Odstrčilová,1,CZ,Mgr.,,47,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
114,544256,České Budějovice,5,Šimon,1,0,13,"učitel, aktivista proti komun.",Heller,1,CZ,Bc.,,26,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
115,2,Plzeň,5,Ivo,1,0,14,vysokoškolský pedagog,Budil,99,CZ,Prof. doc. RNDr.,"Ph.D., DSc.",48,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
116,575500,Přelouč,5,Zdenka,1,0,15,ředitelka Charity Přelouč,Kumstýřová,1,CZ,Ing. Bc.,,44,Křesťanská a demokratická unie - Československá strana lidová,,Křesťan.a demokrat.unie-Českosl.strana lidová,0,0,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
